fecha,ciudad,categoria,unidades,precio
2026-01-05,Bogota,Electronica,3,150000
2026-01-06,Medellin,Hogar,5,45000
2026-01-07,Cali,Electronica,2,320000
2026-01-08,Bogota,Ropa,10,60000
2026-01-09,Barranquilla,Hogar,4,75000
2026-01-10,Medellin,Electronica,1,890000
2026-01-11,Bogota,Ropa,7,55000
2026-01-12,Cali,Hogar,6,42000
2026-01-13,Barranquilla,Electronica,3,210000
2026-01-14,Medellin,Ropa,8,38000
2026-01-15,Bogota,Electronica,2,175000
2026-01-16,Cali,Ropa,9,50000
2026-01-17,Barranquilla,Hogar,5,68000
2026-01-18,Medellin,Electronica,4,240000
2026-01-19,Bogota,Hogar,6,52000
